symbol,output,real_price
CE,67.44841766357422,66.05
CEG,261.30010986328125,264.28
CF,97.12067413330078,89.76
CHD,98.13560485839844,101.67
CHRW,104.3157958984375,103.52
CHTR,349.88031005859375,349.55
CI,279.5817565917969,279.66
CINF,141.7658233642578,141.75
CL,87.41412353515625,87.54
CLX,157.23020935058594,157.59
CMCSA,38.34328842163086,37.49
CME,225.17147827148438,225.82
CMG,60.81608581542969,58.8
CMI,359.9027099609375,358.04
CMS,63.682029724121094,65.42
CNC,63.62129592895508,62.69
CNP,29.384714126586914,31.05
COO,91.80571746826172,93.01
COP,100.3311767578125,99.99
COR,227.99444580078125,228.88
COST,922.8651123046875,922.71
CPAY,340.2991638183594,342.37
CPB,41.08230972290039,40.5
CPRT,56.53299331665039,56.58
CPT,112.35910034179688,113.46
CRL,189.7046356201172,189.54
CRM,334.3612365722656,330.53
CRWD,366.0779724121094,366.36
CSGP,69.69044494628906,71.21
CSX,33.09674072265625,32.0
CTAS,182.78140258789062,185.1
CTRA,24.48029136657715,26.24
CTSH,73.59175872802734,75.91
CTVA,57.948875427246094,56.94
CVS,47.23114013671875,45.82
CVX,147.23294067382812,147.26
CZR,34.70664978027344,33.39
D,53.85285949707031,53.66
DAL,59.26172637939453,60.04
DAY,73.37828826904297,73.74
DD,74.97079467773438,75.26
DE,417.71124267578125,418.0
DECK,207.8047637939453,208.47
DG,76.75643920898438,75.85
DGX,147.64427185058594,152.27
DHI,140.0347137451172,139.36
DHR,239.1587371826172,238.2
DIS,106.40103912353516,111.05
DLR,180.1175079345703,179.6
DLTR,75.81021881103516,76.61
DOC,21.12464141845703,20.02
DOV,186.8062744140625,188.03
DOW,40.864105224609375,39.75
DRI,183.5048828125,183.96
DTE,118.76675415039062,119.67
DUK,107.58172607421875,106.37
DVA,151.74887084960938,151.53
DVN,35.48529052734375,33.75
DXCM,77.4565658569336,79.88
EA,148.25184631347656,145.25
EBAY,60.66770935058594,62.94
ECL,233.4409942626953,231.38
ED,86.78803253173828,88.37
EFX,249.7140350341797,248.76
EG,360.8073425292969,361.67
EIX,79.57791137695312,78.44
EL,73.3937759399414,73.57
ELV,378.7784729003906,379.65
EMN,90.2967758178711,88.65
EMR,123.08268737792969,122.09
ENPH,72.1073989868164,71.38
EOG,128.43133544921875,126.39
EPAM,231.2173309326172,230.99
EQIX,938.9026489257812,940.0
EQT,46.7021369934082,47.64
ERIE,404.54815673828125,405.2
ES,55.979827880859375,56.23
ESS,271.9317932128906,272.79
ETN,346.20745849609375,348.56
ETR,79.69685363769531,75.26
EVRG,60.23198318481445,60.27
EW,71.58686828613281,73.54
EXC,40.205833435058594,37.8
EXPD,116.33595275878906,111.11
EXPE,185.12350463867188,184.99
EXR,150.49041748046875,148.56
F,8.118196487426758,9.92
FANG,169.82064819335938,169.64
FAST,71.28561401367188,71.97
FCX,39.47243118286133,38.57
FDS,469.6983947753906,466.03
FE,38.18828582763672,39.27
FFIV,261.0603942871094,259.7
FI,207.06195068359375,205.63
FIS,79.4838638305664,79.04
FMC,50.49638366699219,49.67
FOX,46.67658233642578,47.07
FOXA,50.597084045410156,49.63
FRT,104.76680755615234,106.54
FSLR,192.24192810058594,191.27
FTNT,97.32137298583984,97.94
